Date,market,side,,price,size,cost,hours_to_close_at_entry,Timestamp,Resolution,trade_resolved_timestamp,Payout,P&L,
2026-01-29,ucl-usg1-ata1-2026-01-28-total-1pt5,YES,0.81,0.9078,0.74,2.73,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:22.025Z,0,-0.74,-0.74,
2026-01-29,ucl-bvb-int-2026-01-28-total-1pt5,YES,0.81,0.9078,0.74,2.73,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:22.639Z,0.91,0.17,0.16,
2026-01-29,ucl-bvb-int-2026-01-28-total-4pt5,NO,0.81,0.9078,0.74,2.73,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:23.254Z,0.91,0.17,0.16,
2026-01-29,ucl-aja-oly-2026-01-28-total-4pt5,NO,0.84,0.8754,0.74,2.73,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:23.663Z,0.88,0.14,0.13,
2026-01-29,ucl-mnc-gal-2026-01-28-total-1pt5,YES,0.92,0.7992,0.74,2.73,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:24.073Z,0.8,0.06,0.06,
2026-01-29,ucl-asm-juv-2026-01-28-total-1pt5,YES,0.82,0.8967,0.74,2.73,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:24.697Z,0,-0.74,-0.74,
2026-01-29,ucl-asm-juv-2026-01-28-total-4pt5,NO,0.81,0.9078,0.74,2.73,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:25.099Z,0.91,0.17,0.16,
2026-01-29,ucl-nap1-cfc-2026-01-28-total-4pt5,NO,0.87,0.8452,0.74,2.73,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:26.120Z,0,-0.74,-0.74,
2026-01-29,ucl-psv1-bay-2026-01-28-total-1pt5,YES,0.9,0.817,0.74,2.73,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:27.077Z,0.82,0.08,0.07,
2026-01-29,ucl-fra1-tot-2026-01-28-total-1pt5,YES,0.82,0.8967,0.74,2.72,2026-01-29T08:05:57.546Z,YES,2026-01-29T08:08:27.462Z,0.9,0.16,0.15,
2026-01-29,ucl-fra1-tot-2026-01-28-total-4pt5,NO,0.81,0.9078,0.74,2.72,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:28.159Z,0.91,0.17,0.16,
2026-01-29,ucl-psg1-new1-2026-01-28-total-1pt5,YES,0.89,0.8262,0.74,2.72,2026-01-29T08:05:57.546Z,YES,2026-01-29T08:08:29.295Z,0.83,0.09,0.08,
2026-01-29,ucl-psg1-new1-2026-01-28-new1,NO,0.81,0.9078,0.74,2.72,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:30.398Z,0.91,0.17,0.16,
2026-01-29,ucl-psv1-bay-2026-01-28-psv1,NO,0.84,0.8754,0.74,2.72,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:31.315Z,0.88,0.14,0.13,
2026-01-29,ucl-psv1-bay-2026-01-28-draw,NO,0.81,0.9078,0.74,2.72,2026-01-29T08:05:57.546Z,NO,2026-01-29T08:08:32.238Z,0.91,0.17,0.16,
